Supplementary Table 9. Pairwise comparison of AA similarity acros Picorna-like viruses,,,,,
Species 1,Species 2,Names 1,Names 2,disimilarity,similarity
FMDV-O1K,PasV-A1,Foot and mouth disease virus,Passerivirus A1,0.88,0.12
ERAV,AEV-1,Equine rhinitis B virus 1,Tremovirus A1,0.88,0.12
LimV-A1,AEV-1,Limnipivirus A1,Tremovirus A1,0.88,0.12
LimV-A1,HAV,Limnipivirus A1,Hepatovirus A,0.88,0.12
STV9,EoV,Soybean thrips iflavirus 9,Ectropis obliqua virus,0.88,0.12
SBV,EoV,Sacbrood virus,Ectropis obliqua virus,0.88,0.12
FMDV-O1K,RoM-7,Foot and mouth disease virus,Rosavirus M-7,0.88,0.12
AoV-5,AoV-6,Putative A. octoarticulatus virus 4 (g1894 i0),Putative A. octoarticulatus virus 5 (g2855 i0),0.88,0.12
NLHV-1,EoV,Nilaparvata lugens honeydew virus 1,Ectropis obliqua virus,0.88,0.12
NIHV-2,SINV-1,Nilaparvata lugens honeydew virus-2,Solenopsis invicta virus 1,0.88,0.12
FeV-2,LHUV-1,Formica exsecta virus 2,Linepithema humile virus 1,0.88,0.12
KgV,AoV-2,King virus,Putative A. octoarticulatus virus 3 (g6982 i4),0.88,0.12
SBV,SEIV-2,Sacbrood virus,Spodoptera exigua iflavirus 2,0.88,0.12
POLIO1A,SV-NG-J1,Human poliovirus 1 Mahoney,Salivirus NG-J1,0.88,0.12
EPV-1,PaV-1,Eel picornavirus 1,Pasivirus A1,0.88,0.12
STV9,ALPV,Soybean thrips iflavirus 9,Aphid lethal paralysis virus,0.88,0.12
BatIV,AoV-6,Bat iflavirus (Yinda et al. 2016),Putative A. octoarticulatus virus 5 (g2855 i0),0.88,0.12
BBV,KBV,Brevicoryne brassicae virus,Kashmir bee virus,0.88,0.12
BBV,ABPV,Brevicoryne brassicae virus,Acute bee paralysis virus,0.88,0.12
BatIV,SEIV-2,Bat iflavirus (Yinda et al. 2016),Spodoptera exigua iflavirus 2,0.88,0.12
SBPV,DcPV,Slow bee paralysis virus,Dinocampus coccinellae paralysis virus,0.88,0.12
TuASV,HPeV-1,Turkey avisivirus,Human parechovirus 1,0.88,0.12
TplV-1,IAPV,Thaumetopoea pityocampa iflavirus 1,Israeli acute paralysis virus,0.88,0.12
AoV-3,SINV-1,Putative A. octoarticulatus virus 1 (g2275 i0),Solenopsis invicta virus 1,0.87,0.13
FeV-2,SINV-1,Formica exsecta virus 2,Solenopsis invicta virus 1,0.87,0.13
MSPV-1,GaV-A1,Miniopterus schreibersii picornavirus 1,Gallivirus A1,0.87,0.13
AoV-3,SBPV,Putative A. octoarticulatus virus 1 (g2275 i0),Slow bee paralysis virus,0.87,0.13
TplV-1,ALPV,Thaumetopoea pityocampa iflavirus 1,Aphid lethal paralysis virus,0.87,0.13
BBV,PNV,Brevicoryne brassicae virus,Perina nuda virus,0.87,0.13
AiV-1,KuV-A1,Aichi virus 1,Kunsagivirus A1,0.87,0.13
SBV,SBPV,Sacbrood virus,Slow bee paralysis virus,0.87,0.13
SBPV,AoV-2,Slow bee paralysis virus,Putative A. octoarticulatus virus 3 (g6982 i4),0.87,0.13
DcPV,AoV-2,Dinocampus coccinellae paralysis virus,Putative A. octoarticulatus virus 3 (g6982 i4),0.87,0.13
NIHV-2,AoV-2,Nilaparvata lugens honeydew virus-2,Putative A. octoarticulatus virus 3 (g6982 i4),0.87,0.13
KgV,SEIV-2,King virus,Spodoptera exigua iflavirus 2,0.87,0.13
AoV-5,SEIV-1,Putative A. octoarticulatus virus 4 (g1894 i0),Spodoptera exigua iflavirus 1,0.87,0.13
NIHV-2,SINV-16,Nilaparvata lugens honeydew virus-2, Solenopsis invicta virus 16,0.87,0.13
NIHV-2,DcPV,Nilaparvata lugens honeydew virus-2,Dinocampus coccinellae paralysis virus,0.87,0.13
ArMV,CRLV,Arabis mosaic virus,Cherry rasp leaf virus,0.87,0.13
ALPV,CPMV,Aphid lethal paralysis virus,Cowpea mosaic virus,0.87,0.13
AoV-5,IFV,Putative A. octoarticulatus virus 4 (g1894 i0),Infectious flacherie virus,0.87,0.13
TuASV,AV-A1,Turkey avisivirus,Aquamavirus A1,0.87,0.13
LimV-A1,AV-A1,Limnipivirus A1,Aquamavirus A1,0.87,0.13
DWV,AoV-7,Deformed wing virus,Putative A. octoarticulatus virus 6 (g3684 i0),0.87,0.13
HPeV-1,AEV-1,Human parechovirus 1,Tremovirus A1,0.87,0.13
CV-A1,CPDV,Cardiovirus A1,Canine picodicistrovirus,0.87,0.13
TplV-1,FEX-1,Thaumetopoea pityocampa iflavirus 1,Formica exsecta virus 1,0.87,0.13
LdIV-1,ABPV,Lymantria dispar iflavirus 1,Acute bee paralysis virus,0.87,0.13
MSPV-1,CPDV,Miniopterus schreibersii picornavirus 1,Canine picodicistrovirus,0.87,0.13
AoV-3,PNV,Putative A. octoarticulatus virus 1 (g2275 i0),Perina nuda virus,0.87,0.13
AoV-3,SEIV-2,Putative A. octoarticulatus virus 1 (g2275 i0),Spodoptera exigua iflavirus 2,0.87,0.13
DHAV-1,KuV-A1,Duck hepatitis A virus 1,Kunsagivirus A1,0.87,0.13
BatPI,AEV-1,Bat picornavirus,Tremovirus A1,0.87,0.13
POLIO1A,HAV,Human poliovirus 1 Mahoney,Hepatovirus A,0.87,0.13
ApIV,AoV-6,Antheraea pernyi iflavirus,Putative A. octoarticulatus virus 5 (g2855 i0),0.87,0.13
POLIO1A,CV-A1,Human poliovirus 1 Mahoney,Cardiovirus A1,0.87,0.13
AoV-5,KBV,Putative A. octoarticulatus virus 4 (g1894 i0),Kashmir bee virus,0.87,0.13
AoV-5,FEX-1,Putative A. octoarticulatus virus 4 (g1894 i0),Formica exsecta virus 1,0.87,0.13
SenV-A1,SiV-A,Senecavirus A1,Sicinivirus A,0.87,0.13
SBV,LdIV-1,Sacbrood virus,Lymantria dispar iflavirus 1,0.87,0.13
AoV-3,AoV-4,Putative A. octoarticulatus virus 1 (g2275 i0),Putative A. octoarticulatus virus 2 (g5994 i0),0.87,0.13
AV-A1,HAV,Aquamavirus A1,Hepatovirus A,0.87,0.13
KgV,IFV,King virus,Infectious flacherie virus,0.87,0.13
DHAV-1,HAV,Duck hepatitis A virus 1,Hepatovirus A,0.87,0.13
FeV-2,SINV-11,Formica exsecta virus 2, Solenopsis invicta virus 11,0.87,0.13
AoV-3,SINV-11,Putative A. octoarticulatus virus 1 (g2275 i0), Solenopsis invicta virus 11,0.87,0.13
STV9,KBV,Soybean thrips iflavirus 9,Kashmir bee virus,0.87,0.13
TplV-1,SINV-16,Thaumetopoea pityocampa iflavirus 1, Solenopsis invicta virus 16,0.87,0.13
AoV-2,ArMV,Putative A. octoarticulatus virus 3 (g6982 i4),Arabis mosaic virus,0.87,0.13
BatPI,EPV-1,Bat picornavirus,Eel picornavirus 1,0.87,0.13
AiV-1,AEV-1,Aichi virus 1,Tremovirus A1,0.87,0.13
PEV-8,SV-NG-J1,Porcine enterovirus 8,Salivirus NG-J1,0.87,0.13
TplV-1,KBV,Thaumetopoea pityocampa iflavirus 1,Kashmir bee virus,0.87,0.13
LdIV-1,FEX-1,Lymantria dispar iflavirus 1,Formica exsecta virus 1,0.87,0.13
AoV-3,BatIV,Putative A. octoarticulatus virus 1 (g2275 i0),Bat iflavirus (Yinda et al. 2016),0.87,0.13
POLIO1A,AEV-1,Human poliovirus 1 Mahoney,Tremovirus A1,0.87,0.13
AoV-5,ABPV,Putative A. octoarticulatus virus 4 (g1894 i0),Acute bee paralysis virus,0.87,0.13
BBV,AoV-6,Brevicoryne brassicae virus,Putative A. octoarticulatus virus 5 (g2855 i0),0.87,0.13
STV9,LdIV-1,Soybean thrips iflavirus 9,Lymantria dispar iflavirus 1,0.87,0.13
DcPV,AoV-5,Dinocampus coccinellae paralysis virus,Putative A. octoarticulatus virus 4 (g1894 i0),0.87,0.13
STV9,NIHV-2,Soybean thrips iflavirus 9,Nilaparvata lugens honeydew virus-2,0.86,0.14
SBV,SINV-16,Sacbrood virus, Solenopsis invicta virus 16,0.86,0.14
BatIV,AoV-2,Bat iflavirus (Yinda et al. 2016),Putative A. octoarticulatus virus 3 (g6982 i4),0.86,0.14
SINV-16,AoV-2, Solenopsis invicta virus 16,Putative A. octoarticulatus virus 3 (g6982 i4),0.86,0.14
VdV-1,LHUV-1,Varroa destructor virus 1,Linepithema humile virus 1,0.86,0.14
LdIV-1,AoV-7,Lymantria dispar iflavirus 1,Putative A. octoarticulatus virus 6 (g3684 i0),0.86,0.14
VdV-1,AoV-7,Varroa destructor virus 1,Putative A. octoarticulatus virus 6 (g3684 i0),0.86,0.14
AoV-2,BQCV,Putative A. octoarticulatus virus 3 (g6982 i4),Black queen cell virus,0.86,0.14
PEV-8,AiV-1,Porcine enterovirus 8,Aichi virus 1,0.86,0.14
ERAV,SiV-A,Equine rhinitis B virus 1,Sicinivirus A,0.86,0.14
HPeV-1,KuV-A1,Human parechovirus 1,Kunsagivirus A1,0.86,0.14
AoV-4,ALPV,Putative A. octoarticulatus virus 2 (g5994 i0),Aphid lethal paralysis virus,0.86,0.14
BBV,LHUV-1,Brevicoryne brassicae virus,Linepithema humile virus 1,0.86,0.14
BatPI,CPDV,Bat picornavirus,Canine picodicistrovirus,0.86,0.14
POLIO1A,EPV-1,Human poliovirus 1 Mahoney,Eel picornavirus 1,0.86,0.14
MoV-A1,CPDV,Mosavirus A1,Canine picodicistrovirus,0.86,0.14
KgV,ALPV,King virus,Aphid lethal paralysis virus,0.86,0.14
FeV-2,SINV-16,Formica exsecta virus 2, Solenopsis invicta virus 16,0.86,0.14
AoV-4,AoV-6,Putative A. octoarticulatus virus 2 (g5994 i0),Putative A. octoarticulatus virus 5 (g2855 i0),0.86,0.14
LdIV-1,SINV-1,Lymantria dispar iflavirus 1,Solenopsis invicta virus 1,0.86,0.14
SenV-A1,PasV-A1,Senecavirus A1,Passerivirus A1,0.86,0.14
NIHV-2,AoV-7,Nilaparvata lugens honeydew virus-2,Putative A. octoarticulatus virus 6 (g3684 i0),0.86,0.14
BatPI,FSak1,Bat picornavirus,Feline sakobuvirus A,0.86,0.14
PEV-8,EPV-1,Porcine enterovirus 8,Eel picornavirus 1,0.86,0.14
AoV-2,AV-A1,Putative A. octoarticulatus virus 3 (g6982 i4),Aquamavirus A1,0.86,0.14
STV9,SINV-11,Soybean thrips iflavirus 9, Solenopsis invicta virus 11,0.86,0.14
TplV-1,AoV-5,Thaumetopoea pityocampa iflavirus 1,Putative A. octoarticulatus virus 4 (g1894 i0),0.86,0.14
KgV,AoV-7,King virus,Putative A. octoarticulatus virus 6 (g3684 i0),0.86,0.14
ApIV,AoV-7,Antheraea pernyi iflavirus,Putative A. octoarticulatus virus 6 (g3684 i0),0.86,0.14
BatPI,FMDV-O1K,Bat picornavirus,Foot and mouth disease virus,0.86,0.14
AoV-3,EoV,Putative A. octoarticulatus virus 1 (g2275 i0),Ectropis obliqua virus,0.86,0.14
PEV-8,MoV-A1,Porcine enterovirus 8,Mosavirus A1,0.86,0.14
SBV,TplV-1,Sacbrood virus,Thaumetopoea pityocampa iflavirus 1,0.86,0.14
TplV-1,SINV-1,Thaumetopoea pityocampa iflavirus 1,Solenopsis invicta virus 1,0.86,0.14
IAPV,BQCV,Israeli acute paralysis virus,Black queen cell virus,0.86,0.14
STV9,NLHV-1,Soybean thrips iflavirus 9,Nilaparvata lugens honeydew virus 1,0.86,0.14
POLIO1A,FMDV-O1K,Human poliovirus 1 Mahoney,Foot and mouth disease virus,0.86,0.14
SINV-11,AoV-5, Solenopsis invicta virus 11,Putative A. octoarticulatus virus 4 (g1894 i0),0.86,0.14
LdIV-1,IAPV,Lymantria dispar iflavirus 1,Israeli acute paralysis virus,0.86,0.14
CosV-A1,CPDV,Cosavirus A1,Canine picodicistrovirus,0.86,0.14
CosV-A1,SV-NG-J1,Cosavirus A1,Salivirus NG-J1,0.86,0.14
CV-A1,RoM-7,Cardiovirus A1,Rosavirus M-7,0.86,0.14
BatPI,HAV,Bat picornavirus,Hepatovirus A,0.86,0.14
DHAV-1,PaV-1,Duck hepatitis A virus 1,Pasivirus A1,0.86,0.14
BHuV-1,SiV-A,Bovine hungarovirus 1,Sicinivirus A,0.86,0.14
AoV-6,BQCV,Putative A. octoarticulatus virus 5 (g2855 i0),Black queen cell virus,0.86,0.14
KBV,BQCV,Kashmir bee virus,Black queen cell virus,0.86,0.14
MSPV-1,SV-NG-J1,Miniopterus schreibersii picornavirus 1,Salivirus NG-J1,0.86,0.14
DWV,AoV-6,Deformed wing virus,Putative A. octoarticulatus virus 5 (g2855 i0),0.86,0.14
NLHV-1,AoV-2,Nilaparvata lugens honeydew virus 1,Putative A. octoarticulatus virus 3 (g6982 i4),0.85,0.15
PEV-8,HAV,Porcine enterovirus 8,Hepatovirus A,0.85,0.15
AoV-5,EoV,Putative A. octoarticulatus virus 4 (g1894 i0),Ectropis obliqua virus,0.85,0.15
AoV-5,PNV,Putative A. octoarticulatus virus 4 (g1894 i0),Perina nuda virus,0.85,0.15
DWV,AoV-2,Deformed wing virus,Putative A. octoarticulatus virus 3 (g6982 i4),0.85,0.15
ApIV,SINV-16,Antheraea pernyi iflavirus, Solenopsis invicta virus 16,0.85,0.15
CosV-A1,PasV-A1,Cosavirus A1,Passerivirus A1,0.85,0.15
BatPI,SenV-A1,Bat picornavirus,Senecavirus A1,0.85,0.15
SBV,BatIV,Sacbrood virus,Bat iflavirus (Yinda et al. 2016),0.85,0.15
AoV-7,BQCV,Putative A. octoarticulatus virus 6 (g3684 i0),Black queen cell virus,0.85,0.15
FMDV-O1K,SiV-A,Foot and mouth disease virus,Sicinivirus A,0.85,0.15
FMDV-O1K,THV-2993D,Foot and mouth disease virus,Turkey hepatitis virus 2993D,0.85,0.15
BHuV-1,CPDV,Bovine hungarovirus 1,Canine picodicistrovirus,0.85,0.15
FSak1,AEV-1,Feline sakobuvirus A,Tremovirus A1,0.85,0.15
BatPI,MSPV-1,Bat picornavirus,Miniopterus schreibersii picornavirus 1,0.85,0.15
FEX-1,BQCV,Formica exsecta virus 1,Black queen cell virus,0.85,0.15
LdIV-1,AoV-5,Lymantria dispar iflavirus 1,Putative A. octoarticulatus virus 4 (g1894 i0),0.85,0.15
CV-A1,GaV-A1,Cardiovirus A1,Gallivirus A1,0.85,0.15
ERAV,CPDV,Equine rhinitis B virus 1,Canine picodicistrovirus,0.85,0.15
STV9,TplV-1,Soybean thrips iflavirus 9,Thaumetopoea pityocampa iflavirus 1,0.85,0.15
LdIV-1,SINV-16,Lymantria dispar iflavirus 1, Solenopsis invicta virus 16,0.85,0.15
LdIV-1,DcPV,Lymantria dispar iflavirus 1,Dinocampus coccinellae paralysis virus,0.85,0.15
LdIV-1,LHUV-1,Lymantria dispar iflavirus 1,Linepithema humile virus 1,0.85,0.15
LdIV-1,KBV,Lymantria dispar iflavirus 1,Kashmir bee virus,0.85,0.15
CosV-A1,GaV-A1,Cosavirus A1,Gallivirus A1,0.85,0.15
NLHV-1,SINV-11,Nilaparvata lugens honeydew virus 1, Solenopsis invicta virus 11,0.85,0.15
ApIV,LHUV-1,Antheraea pernyi iflavirus,Linepithema humile virus 1,0.85,0.15
VdV-1,AoV-6,Varroa destructor virus 1,Putative A. octoarticulatus virus 5 (g2855 i0),0.85,0.15
FeV-2,ALPV,Formica exsecta virus 2,Aphid lethal paralysis virus,0.85,0.15
SBV,SINV-1,Sacbrood virus,Solenopsis invicta virus 1,0.85,0.15
MSPV-1,RoM-7,Miniopterus schreibersii picornavirus 1,Rosavirus M-7,0.85,0.15
LimV-A1,KuV-A1,Limnipivirus A1,Kunsagivirus A1,0.85,0.15
STV9,AoV-5,Soybean thrips iflavirus 9,Putative A. octoarticulatus virus 4 (g1894 i0),0.85,0.15
VdV-1,AoV-5,Varroa destructor virus 1,Putative A. octoarticulatus virus 4 (g1894 i0),0.85,0.15
NLHV-1,ALPV,Nilaparvata lugens honeydew virus 1,Aphid lethal paralysis virus,0.85,0.15
BHuV-1,SV-NG-J1,Bovine hungarovirus 1,Salivirus NG-J1,0.85,0.15
BatPI,AiV-1,Bat picornavirus,Aichi virus 1,0.85,0.15
AoV-4,AoV-5,Putative A. octoarticulatus virus 2 (g5994 i0),Putative A. octoarticulatus virus 4 (g1894 i0),0.85,0.15
SBPV,AoV-5,Slow bee paralysis virus,Putative A. octoarticulatus virus 4 (g1894 i0),0.85,0.15
NLHV-1,DcPV,Nilaparvata lugens honeydew virus 1,Dinocampus coccinellae paralysis virus,0.85,0.15
KgV,SINV-11,King virus, Solenopsis invicta virus 11,0.85,0.15
ABPV,BQCV,Acute bee paralysis virus,Black queen cell virus,0.85,0.15
CV-A1,THV-2993D,Cardiovirus A1,Turkey hepatitis virus 2993D,0.85,0.15
CosV-A1,FSak1,Cosavirus A1,Feline sakobuvirus A,0.85,0.15
BatPI,MoV-A1,Bat picornavirus,Mosavirus A1,0.85,0.15
BatPI,CosV-A1,Bat picornavirus,Cosavirus A1,0.85,0.15
PEV-8,GaV-A1,Porcine enterovirus 8,Gallivirus A1,0.85,0.15
NLHV-1,SINV-16,Nilaparvata lugens honeydew virus 1, Solenopsis invicta virus 16,0.84,0.16
FeV-2,AoV-6,Formica exsecta virus 2,Putative A. octoarticulatus virus 5 (g2855 i0),0.84,0.16
VdV-1,AoV-2,Varroa destructor virus 1,Putative A. octoarticulatus virus 3 (g6982 i4),0.84,0.16
FMDV-O1K,FSak1,Foot and mouth disease virus,Feline sakobuvirus A,0.84,0.16
SBV,FeV-2,Sacbrood virus,Formica exsecta virus 2,0.84,0.16
AoV-3,SINV-16,Putative A. octoarticulatus virus 1 (g2275 i0), Solenopsis invicta virus 16,0.84,0.16
AoV-3,DcPV,Putative A. octoarticulatus virus 1 (g2275 i0),Dinocampus coccinellae paralysis virus,0.84,0.16
DWV,ALPV,Deformed wing virus,Aphid lethal paralysis virus,0.84,0.16
BatPI,OsV-A1,Bat picornavirus,Oscivirus A1,0.84,0.16
SBV,AoV-5,Sacbrood virus,Putative A. octoarticulatus virus 4 (g1894 i0),0.84,0.16
SBV,ApIV,Sacbrood virus,Antheraea pernyi iflavirus,0.84,0.16
MSPV-1,PasV-A1,Miniopterus schreibersii picornavirus 1,Passerivirus A1,0.84,0.16
MSPV-1,OsV-A1,Miniopterus schreibersii picornavirus 1,Oscivirus A1,0.84,0.16
SBV,AoV-4,Sacbrood virus,Putative A. octoarticulatus virus 2 (g5994 i0),0.84,0.16
BHuV-1,THV-2993D,Bovine hungarovirus 1,Turkey hepatitis virus 2993D,0.84,0.16
LdIV-1,ALPV,Lymantria dispar iflavirus 1,Aphid lethal paralysis virus,0.84,0.16
PEV-8,SenV-A1,Porcine enterovirus 8,Senecavirus A1,0.84,0.16
PEV-8,OsV-A1,Porcine enterovirus 8,Oscivirus A1,0.84,0.16
KgV,AoV-5,King virus,Putative A. octoarticulatus virus 4 (g1894 i0),0.84,0.16
FMDV-O1K,SV-NG-J1,Foot and mouth disease virus,Salivirus NG-J1,0.84,0.16
SINV-1,BQCV,Solenopsis invicta virus 1,Black queen cell virus,0.84,0.16
MSPV-1,FSak1,Miniopterus schreibersii picornavirus 1,Feline sakobuvirus A,0.84,0.16
PEV-8,AEV-1,Porcine enterovirus 8,Tremovirus A1,0.84,0.16
ApIV,ABPV,Antheraea pernyi iflavirus,Acute bee paralysis virus,0.84,0.16
TuASV,KuV-A1,Turkey avisivirus,Kunsagivirus A1,0.84,0.16
VdV-1,SINV-16,Varroa destructor virus 1, Solenopsis invicta virus 16,0.84,0.16
BHuV-1,PasV-A1,Bovine hungarovirus 1,Passerivirus A1,0.84,0.16
STV9,ApIV,Soybean thrips iflavirus 9,Antheraea pernyi iflavirus,0.84,0.16
FeV-2,AoV-7,Formica exsecta virus 2,Putative A. octoarticulatus virus 6 (g3684 i0),0.84,0.16
ERAV,SV-NG-J1,Equine rhinitis B virus 1,Salivirus NG-J1,0.84,0.16
SenV-A1,THV-2993D,Senecavirus A1,Turkey hepatitis virus 2993D,0.84,0.16
CV-A1,FSak1,Cardiovirus A1,Feline sakobuvirus A,0.84,0.16
VdV-1,ALPV,Varroa destructor virus 1,Aphid lethal paralysis virus,0.84,0.16
KgV,SINV-16,King virus, Solenopsis invicta virus 16,0.84,0.16
LHUV-1,BQCV,Linepithema humile virus 1,Black queen cell virus,0.84,0.16
DWV,AoV-5,Deformed wing virus,Putative A. octoarticulatus virus 4 (g1894 i0),0.84,0.16
DWV,SINV-16,Deformed wing virus, Solenopsis invicta virus 16,0.84,0.16
TplV-1,DcPV,Thaumetopoea pityocampa iflavirus 1,Dinocampus coccinellae paralysis virus,0.84,0.16
PEV-8,MSPV-1,Porcine enterovirus 8,Miniopterus schreibersii picornavirus 1,0.84,0.16
CV-A1,SiV-A,Cardiovirus A1,Sicinivirus A,0.84,0.16
ERAV,GaV-A1,Equine rhinitis B virus 1,Gallivirus A1,0.84,0.16
PEV-8,FSak1,Porcine enterovirus 8,Feline sakobuvirus A,0.84,0.16
PEV-8,THV-2993D,Porcine enterovirus 8,Turkey hepatitis virus 2993D,0.84,0.16
SBV,NLHV-1,Sacbrood virus,Nilaparvata lugens honeydew virus 1,0.84,0.16
ApIV,KBV,Antheraea pernyi iflavirus,Kashmir bee virus,0.83,0.17
CV-A1,SV-NG-J1,Cardiovirus A1,Salivirus NG-J1,0.83,0.17
CosV-A1,RoM-7,Cosavirus A1,Rosavirus M-7,0.83,0.17
POLIO1A,SenV-A1,Human poliovirus 1 Mahoney,Senecavirus A1,0.83,0.17
BHuV-1,FSak1,Bovine hungarovirus 1,Feline sakobuvirus A,0.83,0.17
DWV,SINV-11,Deformed wing virus, Solenopsis invicta virus 11,0.83,0.17
SenV-A1,GaV-A1,Senecavirus A1,Gallivirus A1,0.83,0.17
SBV,DcPV,Sacbrood virus,Dinocampus coccinellae paralysis virus,0.83,0.17
SenV-A1,OsV-A1,Senecavirus A1,Oscivirus A1,0.83,0.17
STV9,BBV,Soybean thrips iflavirus 9,Brevicoryne brassicae virus,0.83,0.17
ApIV,SINV-1,Antheraea pernyi iflavirus,Solenopsis invicta virus 1,0.83,0.17
POLIO1A,CosV-A1,Human poliovirus 1 Mahoney,Cosavirus A1,0.83,0.17
STV9,KgV,Soybean thrips iflavirus 9,King virus,0.83,0.17
SenV-A1,CPDV,Senecavirus A1,Canine picodicistrovirus,0.83,0.17
ERAV,THV-2993D,Equine rhinitis B virus 1,Turkey hepatitis virus 2993D,0.83,0.17
BatPI,GaV-A1,Bat picornavirus,Gallivirus A1,0.83,0.17
CV-A1,PasV-A1,Cardiovirus A1,Passerivirus A1,0.83,0.17
LHUV-1,ALPV,Linepithema humile virus 1,Aphid lethal paralysis virus,0.83,0.17
POLIO1A,FSak1,Human poliovirus 1 Mahoney,Feline sakobuvirus A,0.83,0.17
POLIO1A,PasV-A1,Human poliovirus 1 Mahoney,Passerivirus A1,0.83,0.17
POLIO1A,MoV-A1,Human poliovirus 1 Mahoney,Mosavirus A1,0.83,0.17
PEV-8,CV-A1,Porcine enterovirus 8,Cardiovirus A1,0.83,0.17
PEV-8,SiV-A,Porcine enterovirus 8,Sicinivirus A,0.83,0.17
ApIV,AoV-5,Antheraea pernyi iflavirus,Putative A. octoarticulatus virus 4 (g1894 i0),0.83,0.17
NIHV-2,AoV-5,Nilaparvata lugens honeydew virus-2,Putative A. octoarticulatus virus 4 (g1894 i0),0.83,0.17
ApIV,FEX-1,Antheraea pernyi iflavirus,Formica exsecta virus 1,0.83,0.17
CosV-A1,THV-2993D,Cosavirus A1,Turkey hepatitis virus 2993D,0.83,0.17
AoV-3,KgV,Putative A. octoarticulatus virus 1 (g2275 i0),King virus,0.83,0.17
BHuV-1,GaV-A1,Bovine hungarovirus 1,Gallivirus A1,0.83,0.17
FMDV-O1K,GaV-A1,Foot and mouth disease virus,Gallivirus A1,0.83,0.17
AoV-3,NLHV-1,Putative A. octoarticulatus virus 1 (g2275 i0),Nilaparvata lugens honeydew virus 1,0.83,0.17
SBV,BBV,Sacbrood virus,Brevicoryne brassicae virus,0.83,0.17
ApIV,IAPV,Antheraea pernyi iflavirus,Israeli acute paralysis virus,0.83,0.17
BBV,SINV-1,Brevicoryne brassicae virus,Solenopsis invicta virus 1,0.83,0.17
TesV-A1,FSak1,Teschovirus A1,Feline sakobuvirus A,0.83,0.17
ApIV,ALPV,Antheraea pernyi iflavirus,Aphid lethal paralysis virus,0.83,0.17
AoV-3,NIHV-2,Putative A. octoarticulatus virus 1 (g2275 i0),Nilaparvata lugens honeydew virus-2,0.83,0.17
SBV,SINV-11,Sacbrood virus, Solenopsis invicta virus 11,0.83,0.17
TuASV,LimV-A1,Turkey avisivirus,Limnipivirus A1,0.83,0.17
EPV-1,KuV-A1,Eel picornavirus 1,Kunsagivirus A1,0.83,0.17
SenV-A1,FSak1,Senecavirus A1,Feline sakobuvirus A,0.82,0.18
SBPV,NLHV-1,Slow bee paralysis virus,Nilaparvata lugens honeydew virus 1,0.82,0.18
VdV-1,SINV-11,Varroa destructor virus 1, Solenopsis invicta virus 11,0.82,0.18
MSPV-1,THV-2993D,Miniopterus schreibersii picornavirus 1,Turkey hepatitis virus 2993D,0.82,0.18
BHuV-1,AiV-1,Bovine hungarovirus 1,Aichi virus 1,0.82,0.18
BatIV,DcPV,Bat iflavirus (Yinda et al. 2016),Dinocampus coccinellae paralysis virus,0.82,0.18
BHuV-1,RoM-7,Bovine hungarovirus 1,Rosavirus M-7,0.82,0.18
AoV-4,DcPV,Putative A. octoarticulatus virus 2 (g5994 i0),Dinocampus coccinellae paralysis virus,0.82,0.18
POLIO1A,CPDV,Human poliovirus 1 Mahoney,Canine picodicistrovirus,0.82,0.18
STV9,SINV-16,Soybean thrips iflavirus 9, Solenopsis invicta virus 16,0.82,0.18
BBV,ALPV,Brevicoryne brassicae virus,Aphid lethal paralysis virus,0.82,0.18
EPV-1,AEV-1,Eel picornavirus 1,Tremovirus A1,0.82,0.18
FMDV-O1K,AiV-1,Foot and mouth disease virus,Aichi virus 1,0.82,0.18
AoV-3,AoV-5,Putative A. octoarticulatus virus 1 (g2275 i0),Putative A. octoarticulatus virus 4 (g1894 i0),0.82,0.18
FeV-2,AoV-5,Formica exsecta virus 2,Putative A. octoarticulatus virus 4 (g1894 i0),0.82,0.18
POLIO1A,GaV-A1,Human poliovirus 1 Mahoney,Gallivirus A1,0.82,0.18
PEV-8,FMDV-O1K,Porcine enterovirus 8,Foot and mouth disease virus,0.82,0.18
POLIO1A,ERAV,Human poliovirus 1 Mahoney,Equine rhinitis B virus 1,0.82,0.18
ERAV,OsV-A1,Equine rhinitis B virus 1,Oscivirus A1,0.82,0.18
SenV-A1,SV-NG-J1,Senecavirus A1,Salivirus NG-J1,0.82,0.18
POLIO1A,BHuV-1,Human poliovirus 1 Mahoney,Bovine hungarovirus 1,0.82,0.18
BatPI,PasV-A1,Bat picornavirus,Passerivirus A1,0.82,0.18
PEV-8,CPDV,Porcine enterovirus 8,Canine picodicistrovirus,0.82,0.18
TuASV,EPV-1,Turkey avisivirus,Eel picornavirus 1,0.82,0.18
ApIV,DcPV,Antheraea pernyi iflavirus,Dinocampus coccinellae paralysis virus,0.82,0.18
STV9,FeV-2,Soybean thrips iflavirus 9,Formica exsecta virus 2,0.82,0.18
SINV-1,ALPV,Solenopsis invicta virus 1,Aphid lethal paralysis virus,0.82,0.18
CosV-A1,AiV-1,Cosavirus A1,Aichi virus 1,0.82,0.18
POLIO1A,SiV-A,Human poliovirus 1 Mahoney,Sicinivirus A,0.82,0.18
TesV-A1,THV-2993D,Teschovirus A1,Turkey hepatitis virus 2993D,0.82,0.18
ERAV,PasV-A1,Equine rhinitis B virus 1,Passerivirus A1,0.82,0.18
